Recall,Precision
1.0,0.2905914456902177
1.0,0.2906000652567259
1.0,0.29060868533459894
1.0,0.2906173059238824
1.0,0.29062592702462176
1.0,0.29063454863686256
1.0,0.29064317076065027
1.0,0.2906517933960305
1.0,0.2906604165430487
1.0,0.2906690402017505
1.0,0.29067766437218134
1.0,0.29068628905438687
1.0,0.29069491424841254
1.0,0.29070353995430404
1.0,0.2907121661721068
1.0,0.29072079290186653
1.0,0.2907294201436287
1.0,0.29073804789743896
1.0,0.2907466761633428
1.0,0.29075530494138596
1.0,0.29076393423161395
1.0,0.29077256403407237
1.0,0.29078119434880684
1.0,0.290789825175863
1.0,0.2907984565152864
1.0,0.2908070883671228
1.0,0.2908157207314177
1.0,0.29082435360821685
1.0,0.29083298699756577
1.0,0.29084162089951016
1.0,0.2908502553140957
1.0,0.2908588902413681
1.0,0.29086752568137286
1.0,0.29087616163415575
1.0,0.2908847980997625
1.0,0.29089343507823867
1.0,0.29090207256963
1.0,0.29091071057398227
1.0,0.29091934909134104
1.0,0.290927988121752
1.0,0.290936627665261
1.0,0.2909452677219137
1.0,0.29095390829175577
1.0,0.29096254937483296
1.0,0.29097119097119095
1.0,0.2909798330808756
1.0,0.2909884757039325
1.0,0.2909971188404075
1.0,0.2910057624903463
1.0,0.29101440665379474
1.0,0.2910230513307985
1.0,0.2910316965214033
1.0,0.29104034222565506
1.0,0.29104898844359944
1.0,0.2910576351752822
1.0,0.2910662824207493
1.0,0.2910749301800464
1.0,0.29108357845321925
1.0,0.29109222724031375
1.0,0.29110087654137573
1.0,0.29110952635645093
1.0,0.29111817668558526
1.0,0.29112682752882446
1.0,0.2911354788862144
1.0,0.2911441307578009
1.0,0.2911527831436298
1.0,0.291161436043747
1.0,0.29117008945819833
1.0,0.29117874338702965
1.0,0.2911873978302868
1.0,0.2911960527880157
1.0,0.2912047082602622
1.0,0.2912133642470721
1.0,0.2912220207484914
1.0,0.291230677764566
1.0,0.29123933529534174
1.0,0.2912479933408645
1.0,0.2912566519011803
1.0,0.2912653109763349
1.0,0.29127397056637433
1.0,0.29128263067134447
1.0,0.2912912912912913
1.0,0.2912999524262607
1.0,0.29130861407629866
1.0,0.2913172762414511
1.0,0.29132593892176395
1.0,0.29133460211728324
1.0,0.2913432658280548
1.0,0.2913519300541248
1.0,0.29136059479553905
1.0,0.29136926005234354
1.0,0.2913779258245844
1.0,0.29138659211230744
1.0,0.29139525891555873
1.0,0.29140392623438427
1.0,0.29141259406883013
1.0,0.29142126241894223
1.0,0.29142993128476663
1.0,0.29143860066634936
1.0,0.2914472705637364
1.0,0.29145594097697386
1.0,0.29146461190610773
1.0,0.2914732833511841
1.0,0.29148195531224896
1.0,0.2914906277893484
1.0,0.2914993007825285
1.0,0.2915079742918353
1.0,0.29151664831731483
1.0,0.2915253228590133
1.0,0.29153399791697665
1.0,0.291542673491251
1.0,0.29155134958188256
1.0,0.29156002618891735
1.0,0.2915687033124014
1.0,0.29157738095238095
1.0,0.29158605910890206
1.0,0.29159473778201084
1.0,0.2916034169717534
1.0,0.29161209667817595
1.0,0.2916207769013246
1.0,0.2916294576412455
1.0,0.2916381388979847
1.0,0.2916468206715885
1.0,0.29165550296210296
1.0,0.29166418576957426
1.0,0.29167286909404866
1.0,0.29168155293557224
1.0,0.2916902372941912
1.0,0.29169892216995175
