comp_name,log2FC,resi6_N6
ENSG00000000003_unmod,-0.2557,1.1337579488754272
ENSG00000000419_unmod,0.2017,0.2886362671852112
ENSG00000000457_unmod,0.4518,1.5402123928070068
ENSG00000000460_unmod,0.0926,2.3242506980895996
ENSG00000000971_unmod,0.4337,0.6996608376502991
ENSG00000001036_unmod,0.0301,1.5642539262771606
ENSG00000001084_unmod,0.0606,0.5760475993156433
ENSG00000001167_unmod,0.3662,0.5568365454673767
ENSG00000001460_unmod,0.1441,0.30333971977233887
ENSG00000001461_unmod,-0.7095,0.5871312022209167
ENSG00000001497_unmod,-0.1232,1.8522230386734009
ENSG00000001617_unmod,0.2273,0.6862346529960632
ENSG00000001629_unmod,0.1826,1.1586966514587402
ENSG00000001631_unmod,0.1752,0.7882391214370728
ENSG00000002016_unmod,0.1238,0.41196396946907043
ENSG00000002330_unmod,0.2727,1.1597291231155396
ENSG00000002549_unmod,0.0093,1.1024364233016968
ENSG00000002586_unmod,0.1117,0.7858685851097107
ENSG00000002746_unmod,-0.0081,0.21812599897384644
ENSG00000002834_unmod,-0.0881,1.0801489353179932
ENSG00000002919_unmod,-0.2988,2.055710554122925
ENSG00000003056_unmod,0.4564,0.9572567939758301
ENSG00000003096_unmod,-0.3336,2.3254153728485107
ENSG00000003137_unmod,0.6146,0.39056506752967834
ENSG00000003249_unmod,0.0574,2.27628755569458
ENSG00000003393_unmod,0.1662,1.8653711080551147
ENSG00000003400_unmod,0.2976,1.404038906097412
ENSG00000003402_unmod,0.1228,0.8939770460128784
ENSG00000003436_unmod,0.4039,0.75008624792099
ENSG00000003509_unmod,0.0483,0.8650692701339722
ENSG00000003756_unmod,0.1451,0.9314109683036804
ENSG00000003989_unmod,-0.3661,0.692312479019165
ENSG00000004059_unmod,0.1099,1.376157522201538
ENSG00000004139_unmod,0.0051,0.8053879737854004
ENSG00000004142_unmod,0.014,0.6313053369522095
ENSG00000004399_unmod,-0.1483,2.4438467025756836
ENSG00000004455_unmod,-0.649,0.5631660223007202
ENSG00000004478_unmod,-0.0999,0.10586988180875778
ENSG00000004487_unmod,-0.1666,1.025342345237732
ENSG00000004534_unmod,0.2778,0.19834156334400177
ENSG00000004660_unmod,0.1615,0.9847888946533203
ENSG00000004700_unmod,0.7527,0.6067654490470886
ENSG00000004766_unmod,0.1352,1.1035284996032715
ENSG00000004777_unmod,0.857,1.0053807497024536
ENSG00000004779_unmod,0.1858,2.093590259552002
ENSG00000004799_unmod,-0.1693,1.0335235595703125
ENSG00000004864_unmod,-0.1471,2.3086965084075928
ENSG00000004866_unmod,-0.39,1.7361598014831543
ENSG00000004897_unmod,0.0027,0.6065722703933716
ENSG00000004961_unmod,-0.1221,0.6495538353919983
ENSG00000004975_unmod,0.1536,0.982197642326355
ENSG00000005007_unmod,0.0173,0.8876499533653259
